"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:19:48 GMT 2024","Fri Dec 13 19:19:48 GMT 2024","306","webkit","","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page",""
"failed","Fri Dec 13 19:13:18 GMT 2024","Fri Dec 13 19:13:18 GMT 2024","297","webkit","","Blog","","","TC_06_04 | Verify switching between Blog articles By category",""
"failed","Fri Dec 13 19:20:47 GMT 2024","Fri Dec 13 19:20:48 GMT 2024","303","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order",""
"skipped","Fri Dec 13 19:13:59 GMT 2024","Fri Dec 13 19:13:59 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu",""
"failed","Fri Dec 13 19:14:05 GMT 2024","Fri Dec 13 19:14:05 GMT 2024","304","webkit","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings",""
"failed","Fri Dec 13 19:18:23 GMT 2024","Fri Dec 13 19:18:24 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:15:05 GMT 2024","Fri Dec 13 19:15:06 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","1","webkit","","Delete Account","","","TC_02_04 | Account Deletion Without 2FA",""
"failed","Fri Dec 13 19:19:13 GMT 2024","Fri Dec 13 19:19:13 GMT 2024","297","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type",""
"failed","Fri Dec 13 19:13:48 GMT 2024","Fri Dec 13 19:13:48 GMT 2024","302","webkit","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"failed","Fri Dec 13 19:14:02 GMT 2024","Fri Dec 13 19:14:02 GMT 2024","295","webkit","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu",""
"failed","Fri Dec 13 19:16:14 GMT 2024","Fri Dec 13 19:16:14 GMT 2024","301","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the DV subscription SSL Сertificates",""
"failed","Fri Dec 13 19:12:05 GMT 2024","Fri Dec 13 19:12:05 GMT 2024","315","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"failed","Fri Dec 13 19:17:18 GMT 2024","Fri Dec 13 19:17:19 GMT 2024","289","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:15:25 GMT 2024","Fri Dec 13 19:15:25 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results",""
"failed","Fri Dec 13 19:11:51 GMT 2024","Fri Dec 13 19:11:51 GMT 2024","320","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.",""
"failed","Fri Dec 13 19:13:11 GMT 2024","Fri Dec 13 19:13:11 GMT 2024","303","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input",""
"failed","Fri Dec 13 19:13:08 GMT 2024","Fri Dec 13 19:13:08 GMT 2024","307","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC",""
"failed","Fri Dec 13 19:11:47 GMT 2024","Fri Dec 13 19:11:48 GMT 2024","299","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".",""
"failed","Fri Dec 13 19:19:38 GMT 2024","Fri Dec 13 19:19:38 GMT 2024","306","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type",""
"failed","Fri Dec 13 19:14:31 GMT 2024","Fri Dec 13 19:14:31 GMT 2024","312","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page",""
"failed","Fri Dec 13 19:11:06 GMT 2024","Fri Dec 13 19:11:06 GMT 2024","313","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain",""
"failed","Fri Dec 13 19:12:01 GMT 2024","Fri Dec 13 19:12:02 GMT 2024","319","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA",""
"failed","Fri Dec 13 19:15:15 GMT 2024","Fri Dec 13 19:15:15 GMT 2024","298","webkit","","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality",""
"failed","Fri Dec 13 19:19:57 GMT 2024","Fri Dec 13 19:19:58 GMT 2024","281","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam",""
"failed","Fri Dec 13 19:11:58 GMT 2024","Fri Dec 13 19:11:58 GMT 2024","304","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A",""
