"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 04:05:17 GMT 2024","Wed Dec 18 04:05:25 GMT 2024","8016","webkit","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"skipped","Wed Dec 18 03:56:17 GMT 2024","Wed Dec 18 03:56:17 GMT 2024","0","webkit","","Blog","","","TC_06_04 | Verify switching between Blog articles By category",""
"passed","Wed Dec 18 03:49:30 GMT 2024","Wed Dec 18 03:49:48 GMT 2024","18112","webkit","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Dec 18 03:52:37 GMT 2024","Wed Dec 18 03:52:52 GMT 2024","14213","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 04:13:28 GMT 2024","Wed Dec 18 04:13:40 GMT 2024","12748","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:59 GMT 2024","12496","webkit","","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page","Verify unauthorised user must redirect to the login page from Domain availability Page"
"skipped","Wed Dec 18 04:14:46 GMT 2024","Wed Dec 18 04:14:46 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_01 | Verify unauthorized users can submit the ""Contact Us"" form for ""Account Management & Access"" Type",""
"passed","Wed Dec 18 04:11:30 GMT 2024","Wed Dec 18 04:11:42 GMT 2024","12314","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""l"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:05:00 GMT 2024","Wed Dec 18 04:05:05 GMT 2024","4969","webkit","","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Dec 18 03:51:09 GMT 2024","Wed Dec 18 03:51:24 GMT 2024","15582","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Wed Dec 18 04:02:49 GMT 2024","Wed Dec 18 04:03:04 GMT 2024","14586","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Dec 18 03:45:51 GMT 2024","Wed Dec 18 03:46:18 GMT 2024","27883","webkit","","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy","Verify the contact creation, redirection to Homepage, and user info accuracy"
"passed","Wed Dec 18 03:49:03 GMT 2024","Wed Dec 18 03:49:15 GMT 2024","12098","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Wed Dec 18 03:48:39 GMT 2024","Wed Dec 18 03:48:51 GMT 2024","12531","webkit","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Wed Dec 18 03:57:16 GMT 2024","Wed Dec 18 03:57:29 GMT 2024","13257","webkit","","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Help center search, as well as previous search history when the search field is empty."
