"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 11 18:32:48 GMT 2024","Mon Nov 11 18:32:55 GMT 2024","6447","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Mon Nov 11 18:33:43 GMT 2024","Mon Nov 11 18:33:47 GMT 2024","4016","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Mon Nov 11 18:28:51 GMT 2024","Mon Nov 11 18:28:53 GMT 2024","2274","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 11 18:34:03 GMT 2024","Mon Nov 11 18:34:05 GMT 2024","2816","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Mon Nov 11 18:34:23 GMT 2024","Mon Nov 11 18:34:28 GMT 2024","5074","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Mon Nov 11 18:29:12 GMT 2024","Mon Nov 11 18:29:17 GMT 2024","4251","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:29:58 GMT 2024","Mon Nov 11 18:30:03 GMT 2024","5064","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Mon Nov 11 18:34:11 GMT 2024","Mon Nov 11 18:34:13 GMT 2024","2256","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Mon Nov 11 18:31:01 GMT 2024","Mon Nov 11 18:31:08 GMT 2024","7107","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Mon Nov 11 18:34:05 GMT 2024","Mon Nov 11 18:34:08 GMT 2024","2587","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Mon Nov 11 18:30:09 GMT 2024","Mon Nov 11 18:30:14 GMT 2024","4509","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Mon Nov 11 18:29:30 GMT 2024","Mon Nov 11 18:29:34 GMT 2024","4312","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:30:03 GMT 2024","Mon Nov 11 18:30:09 GMT 2024","6321","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Mon Nov 11 18:30:53 GMT 2024","Mon Nov 11 18:31:01 GMT 2024","7324","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Mon Nov 11 18:31:57 GMT 2024","Mon Nov 11 18:32:04 GMT 2024","6619","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 18:31:22 GMT 2024","Mon Nov 11 18:31:29 GMT 2024","6567","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 18:31:43 GMT 2024","Mon Nov 11 18:31:50 GMT 2024","7178","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 18:30:39 GMT 2024","Mon Nov 11 18:30:46 GMT 2024","7353","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
