"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 17:51:23 GMT 2024","Wed Dec 18 17:51:28 GMT 2024","4800","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Dec 18 17:55:23 GMT 2024","Wed Dec 18 17:55:35 GMT 2024","12392","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"skipped","Wed Dec 18 18:02:11 GMT 2024","Wed Dec 18 18:02:11 GMT 2024","313","webkit","","DNS Records - Verify copy button adds text to clipboard","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
"passed","Wed Dec 18 18:01:31 GMT 2024","Wed Dec 18 18:01:45 GMT 2024","14090","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Wed Dec 18 18:19:34 GMT 2024","Wed Dec 18 18:19:43 GMT 2024","9271","webkit","","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Wed Dec 18 18:00:13 GMT 2024","Wed Dec 18 18:00:27 GMT 2024","14749","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 18:07:22 GMT 2024","Wed Dec 18 18:07:37 GMT 2024","15609","webkit","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Wed Dec 18 18:04:24 GMT 2024","Wed Dec 18 18:04:40 GMT 2024","16117","webkit","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Wed Dec 18 18:00:59 GMT 2024","Wed Dec 18 18:01:16 GMT 2024","16638","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 18:09:47 GMT 2024","Wed Dec 18 18:09:52 GMT 2024","4820","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
