"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","1","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A",""
"passed","Wed Nov 13 21:00:57 GMT 2024","Wed Nov 13 21:01:01 GMT 2024","4187","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Nov 13 21:03:26 GMT 2024","Wed Nov 13 21:03:36 GMT 2024","9282","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Wed Nov 13 21:03:10 GMT 2024","Wed Nov 13 21:03:15 GMT 2024","5728","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Wed Nov 13 21:02:22 GMT 2024","Wed Nov 13 21:02:28 GMT 2024","5683","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields",""
"passed","Wed Nov 13 21:01:20 GMT 2024","Wed Nov 13 21:01:25 GMT 2024","4773","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:01:51 GMT 2024","Wed Nov 13 21:01:54 GMT 2024","3933","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"skipped","Wed Nov 13 21:03:40 GMT 2024","Wed Nov 13 21:03:40 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Nov 13 21:01:01 GMT 2024","Wed Nov 13 21:01:06 GMT 2024","4983","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS",""
"passed","Wed Nov 13 21:04:45 GMT 2024","Wed Nov 13 21:04:48 GMT 2024","3049","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Nov 13 21:04:14 GMT 2024","Wed Nov 13 21:04:20 GMT 2024","5709","chromium","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Nov 13 21:00:37 GMT 2024","Wed Nov 13 21:00:46 GMT 2024","8170","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Nov 13 21:04:09 GMT 2024","Wed Nov 13 21:04:14 GMT 2024","5662","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","1","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields",""
"passed","Wed Nov 13 21:01:11 GMT 2024","Wed Nov 13 21:01:16 GMT 2024","4643","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
