"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:36:06 GMT 2024","Fri Dec 13 19:36:06 GMT 2024","304","webkit","","Hosted zones","","","TC_04_03_01| Verify user can create hosted zone",""
"failed","Fri Dec 13 19:43:47 GMT 2024","Fri Dec 13 19:43:47 GMT 2024","311","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order",""
"failed","Fri Dec 13 19:35:59 GMT 2024","Fri Dec 13 19:35:59 GMT 2024","304","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name",""
"failed","Fri Dec 13 19:43:37 GMT 2024","Fri Dec 13 19:43:38 GMT 2024","304","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena",""
"failed","Fri Dec 13 19:35:11 GMT 2024","Fri Dec 13 19:35:11 GMT 2024","313","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS",""
"failed","Fri Dec 13 19:34:47 GMT 2024","Fri Dec 13 19:34:47 GMT 2024","301","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page",""
"failed","Fri Dec 13 19:42:24 GMT 2024","Fri Dec 13 19:42:24 GMT 2024","279","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type",""
"failed","Fri Dec 13 19:43:42 GMT 2024","Fri Dec 13 19:43:43 GMT 2024","302","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants",""
"failed","Fri Dec 13 19:37:24 GMT 2024","Fri Dec 13 19:37:24 GMT 2024","297","webkit","","My profile","","","TC_08_05 | Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section",""
"failed","Fri Dec 13 19:39:51 GMT 2024","Fri Dec 13 19:39:52 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:38:22 GMT 2024","Fri Dec 13 19:38:22 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"failed","Fri Dec 13 19:39:12 GMT 2024","Fri Dec 13 19:39:12 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates",""
"failed","Fri Dec 13 19:38:22 GMT 2024","Fri Dec 13 19:38:22 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality",""
"failed","Fri Dec 13 19:38:32 GMT 2024","Fri Dec 13 19:38:32 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied",""
"skipped","Fri Dec 13 19:37:01 GMT 2024","Fri Dec 13 19:37:01 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu",""
"failed","Fri Dec 13 19:37:42 GMT 2024","Fri Dec 13 19:37:43 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_01_03|  Verify that non authorized user can navigate through  WhoIs page",""
"failed","Fri Dec 13 19:35:28 GMT 2024","Fri Dec 13 19:35:29 GMT 2024","318","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields",""
"skipped","Fri Dec 13 19:36:34 GMT 2024","Fri Dec 13 19:36:34 GMT 2024","0","webkit","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories",""
"failed","Fri Dec 13 19:36:37 GMT 2024","Fri Dec 13 19:36:37 GMT 2024","305","webkit","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query",""
"failed","Fri Dec 13 19:41:11 GMT 2024","Fri Dec 13 19:41:11 GMT 2024","295","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:41:26 GMT 2024","Fri Dec 13 19:41:26 GMT 2024","287","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:36:09 GMT 2024","Fri Dec 13 19:36:10 GMT 2024","305","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC",""
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","1","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"failed","Fri Dec 13 19:43:52 GMT 2024","Fri Dec 13 19:43:52 GMT 2024","301","webkit","","Report Abuse submission for each type of report","","","TC_09_07_013| Verify unauthorized user can submit the ""Report Abuse"" form for UDRP",""
"failed","Fri Dec 13 19:34:57 GMT 2024","Fri Dec 13 19:34:58 GMT 2024","330","webkit","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"failed","Fri Dec 13 19:37:57 GMT 2024","Fri Dec 13 19:37:58 GMT 2024","314","webkit","","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page",""
"failed","Fri Dec 13 19:37:10 GMT 2024","Fri Dec 13 19:37:11 GMT 2024","296","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page",""
"failed","Fri Dec 13 19:43:33 GMT 2024","Fri Dec 13 19:43:33 GMT 2024","304","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois",""
"failed","Fri Dec 13 19:39:31 GMT 2024","Fri Dec 13 19:39:32 GMT 2024","319","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""a"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:39:26 GMT 2024","Fri Dec 13 19:39:27 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the EV subscription SSL Сertificates",""
"failed","Fri Dec 13 19:38:57 GMT 2024","Fri Dec 13 19:38:57 GMT 2024","310","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header",""
"failed","Fri Dec 13 19:42:49 GMT 2024","Fri Dec 13 19:42:49 GMT 2024","286","webkit","","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page",""
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","0","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"failed","Fri Dec 13 19:43:13 GMT 2024","Fri Dec 13 19:43:13 GMT 2024","286","webkit","","Report Abuse submission for each type of report","","","TC_09_07_05| Verify unauthorized user can submit the ""Report Abuse"" form for Hijacking & Domain Name Dispute",""
"failed","Fri Dec 13 19:41:36 GMT 2024","Fri Dec 13 19:41:36 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:40:56 GMT 2024","Fri Dec 13 19:40:56 GMT 2024","291","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:34:54 GMT 2024","Fri Dec 13 19:34:54 GMT 2024","323","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.",""
"failed","Fri Dec 13 19:43:08 GMT 2024","Fri Dec 13 19:43:09 GMT 2024","309","webkit","","Report Abuse submission for each type of report","","","TC_09_07_04| Verify unauthorized user can submit the ""Report Abuse"" form for Hacking Activity",""
"failed","Fri Dec 13 19:40:01 GMT 2024","Fri Dec 13 19:40:01 GMT 2024","307","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:41:55 GMT 2024","Fri Dec 13 19:41:55 GMT 2024","305","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type",""
"failed","Fri Dec 13 19:42:44 GMT 2024","Fri Dec 13 19:42:44 GMT 2024","302","webkit","","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type",""
"failed","Fri Dec 13 19:34:09 GMT 2024","Fri Dec 13 19:34:09 GMT 2024","313","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain",""
"failed","Fri Dec 13 19:36:30 GMT 2024","Fri Dec 13 19:36:30 GMT 2024","313","webkit","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters",""
