"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 17 03:12:45 GMT 2024","Tue Dec 17 03:12:56 GMT 2024","11828","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Tue Dec 17 03:33:53 GMT 2024","Tue Dec 17 03:34:05 GMT 2024","12452","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:22:24 GMT 2024","Tue Dec 17 03:23:17 GMT 2024","53380","webkit","","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article","Verify that relevant articles are displayed."
"broken","Tue Dec 17 03:47:04 GMT 2024","Tue Dec 17 03:48:04 GMT 2024","60460","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:11:04 GMT 2024","Tue Dec 17 03:11:17 GMT 2024","13292","webkit","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Dec 17 03:10:22 GMT 2024","Tue Dec 17 03:10:45 GMT 2024","23175","webkit","","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy","Verify the contact creation, redirection to Homepage, and user info accuracy"
"passed","Tue Dec 17 03:21:59 GMT 2024","Tue Dec 17 03:22:10 GMT 2024","10647","webkit","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"skipped","Tue Dec 17 03:20:33 GMT 2024","Tue Dec 17 03:20:33 GMT 2024","0","webkit","","Blog","","","TC_06_04 | Verify switching between Blog articles By category",""
"passed","Tue Dec 17 03:12:01 GMT 2024","Tue Dec 17 03:12:16 GMT 2024","15291","webkit","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Dec 17 04:01:47 GMT 2024","Tue Dec 17 04:01:57 GMT 2024","9665","webkit","","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page","Verify unauthorised user must redirect to the login page from Domain availability Page"
"passed","Tue Dec 17 03:10:45 GMT 2024","Tue Dec 17 03:10:54 GMT 2024","8985","webkit","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Tue Dec 17 03:19:57 GMT 2024","Tue Dec 17 03:20:10 GMT 2024","12399","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Tue Dec 17 03:32:21 GMT 2024","Tue Dec 17 03:32:30 GMT 2024","8973","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the DV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the DV subscription SSL Сertificates"
"passed","Tue Dec 17 03:32:30 GMT 2024","Tue Dec 17 03:32:39 GMT 2024","8777","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the OV subscription SSL Сertificates"
"passed","Tue Dec 17 03:12:32 GMT 2024","Tue Dec 17 03:12:45 GMT 2024","13057","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Tue Dec 17 04:03:29 GMT 2024","Tue Dec 17 04:03:43 GMT 2024","14470","webkit","","Report Abuse submission for each type of report","","","TC_09_07_07| Verify unauthorized user can submit the ""Report Abuse"" form for Pharmacy Complaint","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 03:08:53 GMT 2024","Tue Dec 17 03:09:02 GMT 2024","8927","webkit","","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality"
"passed","Tue Dec 17 03:37:06 GMT 2024","Tue Dec 17 03:37:29 GMT 2024","23170","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:27:34 GMT 2024","Tue Dec 17 03:27:38 GMT 2024","4714","webkit","","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Dec 17 03:28:32 GMT 2024","Tue Dec 17 03:28:40 GMT 2024","7555","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Dec 17 03:19:00 GMT 2024","Tue Dec 17 03:19:13 GMT 2024","13169","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
"passed","Tue Dec 17 03:08:40 GMT 2024","Tue Dec 17 03:08:47 GMT 2024","6370","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Tue Dec 17 03:42:32 GMT 2024","Tue Dec 17 03:42:41 GMT 2024","9033","webkit","","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:20:53 GMT 2024","Tue Dec 17 03:21:02 GMT 2024","9278","webkit","","Blog","","","TC_06_01 | Verify Blog search functionality with random characters","To verify that ""No results for... "" message appears after search with random characters."
"passed","Tue Dec 17 03:35:26 GMT 2024","Tue Dec 17 03:35:38 GMT 2024","12630","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:35:38 GMT 2024","Tue Dec 17 03:35:47 GMT 2024","8799","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:33:20 GMT 2024","Tue Dec 17 03:33:28 GMT 2024","8779","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""d"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:14:58 GMT 2024","Tue Dec 17 03:15:11 GMT 2024","12490","webkit","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Tue Dec 17 03:17:44 GMT 2024","Tue Dec 17 03:18:00 GMT 2024","15996","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Dec 17 03:19:13 GMT 2024","Tue Dec 17 03:19:30 GMT 2024","16674","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Tue Dec 17 03:14:47 GMT 2024","Tue Dec 17 03:14:58 GMT 2024","11247","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
