"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 15:14:17 GMT 2024","Sat Nov 09 15:14:24 GMT 2024","6631","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Sat Nov 09 15:14:00 GMT 2024","Sat Nov 09 15:14:06 GMT 2024","6160","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Sat Nov 09 15:15:31 GMT 2024","Sat Nov 09 15:15:39 GMT 2024","7845","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Nov 09 15:18:27 GMT 2024","Sat Nov 09 15:18:33 GMT 2024","6382","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Sat Nov 09 15:18:05 GMT 2024","Sat Nov 09 15:18:08 GMT 2024","2710","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Sat Nov 09 15:18:21 GMT 2024","Sat Nov 09 15:18:24 GMT 2024","2458","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Sat Nov 09 15:17:17 GMT 2024","Sat Nov 09 15:17:28 GMT 2024","11078","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Sat Nov 09 15:18:19 GMT 2024","Sat Nov 09 15:18:21 GMT 2024","2554","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Sat Nov 09 15:17:10 GMT 2024","Sat Nov 09 15:17:17 GMT 2024","6911","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Sat Nov 09 15:13:09 GMT 2024","Sat Nov 09 15:13:14 GMT 2024","4848","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Sat Nov 09 15:17:28 GMT 2024","Sat Nov 09 15:17:33 GMT 2024","5002","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Sat Nov 09 15:13:03 GMT 2024","Sat Nov 09 15:13:09 GMT 2024","5642","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Sat Nov 09 15:17:37 GMT 2024","Sat Nov 09 15:17:44 GMT 2024","6929","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
